name,country_name,country_id,opponent_name,opponent_country_name,opponent_country_id,date,tournament,level,bestOf,surface,indoor,speed,round,score,winner,total_points_played
Corentin Moutet,France,FRA,Juan Ignacio Londero,Argentina,ARG,5/26/2019,Roland Garros,G,5,C,FALSE,48,R32,2-6 6-3 6-4 5-7 6-4,FALSE,304
Juan Ignacio Londero,Argentina,ARG,Corentin Moutet,France,FRA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R32,2-6 6-3 6-4 5-7 6-4,TRUE,304
Andy Murray,United Kingdom,GBR,Roberto Bautista Agut,Spain,ESP,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-4 6-4 6-7(5) 6-7(4) 6-2,FALSE,303
Hubert Hurkacz,Poland,POL,Ivo Karlovic,Croatia,CRO,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-7(5) 7-6(6) 7-6(3) 7-6(5),FALSE,303
Ivo Karlovic,Croatia,CRO,Hubert Hurkacz,Poland,POL,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-7(5) 7-6(6) 7-6(3) 7-6(5),TRUE,303
John Isner,United States,USA,Nicolas Jarry,Chile,CHI,8/27/2018,US Open,G,5,H,FALSE,61,R64,6-7(7) 6-4 3-6 7-6(2) 6-4,TRUE,303
Nicolas Jarry,Chile,CHI,John Isner,United States,USA,8/27/2018,US Open,G,5,H,FALSE,61,R64,6-7(7) 6-4 3-6 7-6(2) 6-4,FALSE,303
Roberto Bautista Agut,Spain,ESP,Andy Murray,United Kingdom,GBR,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-4 6-4 6-7(5) 6-7(4) 6-2,TRUE,303
Fernando Verdasco,Spain,ESP,Kyle Edmund,United Kingdom,GBR,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,4-6 4-6 7-6(3) 6-3 6-4,TRUE,301
Kyle Edmund,United Kingdom,GBR,Fernando Verdasco,Spain,ESP,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,4-6 4-6 7-6(3) 6-3 6-4,FALSE,301
Tennys Sandgren,United States,USA,Yoshihito Nishioka,Japan,JPN,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-4 7-6(5) 4-6 6-4,FALSE,301
Yoshihito Nishioka,Japan,JPN,Tennys Sandgren,United States,USA,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-4 7-6(5) 4-6 6-4,TRUE,301
Alexander Bublik,Russian Federation,RUS,Rudolf Molleker,Germany,GER,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,7-5 6-7(4) 6-1 7-6(2),TRUE,300
Jan Lennard Struff,Germany,GER,Radu Albot,"Moldova, Republic of",MDA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R64,7-6(2) 7-6(3) 6-7(4) 6-2,TRUE,300
John Isner,United States,USA,Mikhail Kukushkin,Kazakhstan,KAZ,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,6-4 6-7(3) 4-6 6-1 6-4,FALSE,300
Mikhail Kukushkin,Kazakhstan,KAZ,John Isner,United States,USA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,6-4 6-7(3) 4-6 6-1 6-4,TRUE,300
Philipp Kohlschreiber,Germany,GER,Yannick Hanfmann,Germany,GER,8/27/2018,US Open,G,5,H,FALSE,61,R128,7-6(3) 5-7 6-4 6-4,TRUE,300
Radu Albot,"Moldova, Republic of",MDA,Jan Lennard Struff,Germany,GER,5/26/2019,Roland Garros,G,5,C,FALSE,48,R64,7-6(2) 7-6(3) 6-7(4) 6-2,FALSE,300
Rudolf Molleker,Germany,GER,Alexander Bublik,Russian Federation,RUS,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,7-5 6-7(4) 6-1 7-6(2),FALSE,300
Yannick Hanfmann,Germany,GER,Philipp Kohlschreiber,Germany,GER,8/27/2018,US Open,G,5,H,FALSE,61,R128,7-6(3) 5-7 6-4 6-4,FALSE,300
Alex De Minaur,Australia,AUS,Steve Johnson,United States,USA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,3-6 7-6(4) 6-3 3-6 6-3,FALSE,299
Feliciano Lopez,Spain,ESP,Ivo Karlovic,Croatia,CRO,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,7-6(4) 7-5 6-7(7) 7-5,FALSE,299
Filip Krajinovic,Serbia,SRB,Stefanos Tsitsipas,Greece,GRE,5/26/2019,Roland Garros,G,5,C,FALSE,48,R32,7-5 6-3 6-7(5) 7-6(6),FALSE,299
Ivo Karlovic,Croatia,CRO,Feliciano Lopez,Spain,ESP,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,7-6(4) 7-5 6-7(7) 7-5,TRUE,299
Stefanos Tsitsipas,Greece,GRE,Filip Krajinovic,Serbia,SRB,5/26/2019,Roland Garros,G,5,C,FALSE,48,R32,7-5 6-3 6-7(5) 7-6(6),TRUE,299
Steve Johnson,United States,USA,Alex De Minaur,Australia,AUS,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,3-6 7-6(4) 6-3 3-6 6-3,TRUE,299
Marco Cecchinato,Italy,ITA,Nicolas Mahut,France,FRA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,2-6 6-7(6) 6-4 6-2 6-4,FALSE,298
Nicolas Mahut,France,FRA,Marco Cecchinato,Italy,ITA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,2-6 6-7(6) 6-4 6-2 6-4,TRUE,298
Dusan Lajovic,Serbia,SRB,John Isner,United States,USA,8/27/2018,US Open,G,5,H,FALSE,61,R32,7-6(8) 6-7(6) 6-3 7-5,FALSE,297
John Isner,United States,USA,Dusan Lajovic,Serbia,SRB,8/27/2018,US Open,G,5,H,FALSE,61,R32,7-6(8) 6-7(6) 6-3 7-5,TRUE,297
Kei Nishikori,Japan,JPN,Marin Cilic,Croatia,CRO,8/27/2018,US Open,G,5,H,FALSE,61,QF,2-6 6-4 7-6(5) 4-6 6-4,TRUE,296
Marin Cilic,Croatia,CRO,Kei Nishikori,Japan,JPN,8/27/2018,US Open,G,5,H,FALSE,61,QF,2-6 6-4 7-6(5) 4-6 6-4,FALSE,296
Lucas Pouille,France,FRA,Maximilian Marterer,Germany,GER,1/14/2019,Australian Open,G,5,H,FALSE,85,R64,7-6(8) 7-6(8) 5-7 6-4,TRUE,295
Martin Klizan,Slovakia,SVK,Mikhail Kukushkin,Kazakhstan,KAZ,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,3-6 5-7 6-4 6-2 6-3,TRUE,295
Maximilian Marterer,Germany,GER,Lucas Pouille,France,FRA,1/14/2019,Australian Open,G,5,H,FALSE,85,R64,7-6(8) 7-6(8) 5-7 6-4,FALSE,295
Mikhail Kukushkin,Kazakhstan,KAZ,Martin Klizan,Slovakia,SVK,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,3-6 5-7 6-4 6-2 6-3,FALSE,295
Sam Querrey,United States,USA,Tennys Sandgren,United States,USA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R16,6-4 6-7(9) 7-6(3) 7-6(5),TRUE,295
Tennys Sandgren,United States,USA,Sam Querrey,United States,USA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R16,6-4 6-7(9) 7-6(3) 7-6(5),FALSE,295
Antonie Hoang,France,FRA,Fernando Verdasco,Spain,ESP,5/26/2019,Roland Garros,G,5,C,FALSE,48,R64,6-4 3-6 7-6(5) 7-5,TRUE,294
Corentin Moutet,France,FRA,Grigor Dimitrov,Bulgaria,BUL,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,2-6 3-6 7-6(4) 6-3 6-1,TRUE,294
Dominic Thiem,Austria,AUT,Steve Johnson,United States,USA,8/27/2018,US Open,G,5,H,FALSE,61,R64,6-7(5) 6-3 5-7 6-4 6-1,TRUE,294
Fernando Verdasco,Spain,ESP,Antonie Hoang,France,FRA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R64,6-4 3-6 7-6(5) 7-5,FALSE,294
Grigor Dimitrov,Bulgaria,BUL,Corentin Moutet,France,FRA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,2-6 3-6 7-6(4) 6-3 6-1,FALSE,294
Steve Johnson,United States,USA,Dominic Thiem,Austria,AUT,8/27/2018,US Open,G,5,H,FALSE,61,R64,6-7(5) 6-3 5-7 6-4 6-1,FALSE,294
Leonardo Mayer,Argentina,ARG,Nicolas Mahut,France,FRA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R32,3-6 7-6(3) 6-4 7-6(3),TRUE,293
Nicolas Mahut,France,FRA,Leonardo Mayer,Argentina,ARG,5/26/2019,Roland Garros,G,5,C,FALSE,48,R32,3-6 7-6(3) 6-4 7-6(3),FALSE,293
Denis Kudla,United States,USA,Miomir Kecmanovic,Serbia,SRB,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-0 6-7(9) 5-7 6-3 6-4,FALSE,292
Miomir Kecmanovic,Serbia,SRB,Denis Kudla,United States,USA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-0 6-7(9) 5-7 6-3 6-4,TRUE,292
Karen Khachanov,Russian Federation,RUS,Soon Woo Kwon,"Korea, Republic of",KOR,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,7-6(6) 6-4 4-6 7-5,TRUE,291
Soon Woo Kwon,"Korea, Republic of",KOR,Karen Khachanov,Russian Federation,RUS,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,7-6(6) 6-4 4-6 7-5,FALSE,291
Borna Coric,Croatia,CRO,Lucas Pouille,France,FRA,1/14/2019,Australian Open,G,5,H,FALSE,85,R16,6-7(4) 6-4 7-5 7-6(2),FALSE,290
Lucas Pouille,France,FRA,Borna Coric,Croatia,CRO,1/14/2019,Australian Open,G,5,H,FALSE,85,R16,6-7(4) 6-4 7-5 7-6(2),TRUE,290
Andrey Rublev,Russian Federation,RUS,Christian Garin,Chile,CHI,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,4-6 6-4 7-5 6-4,TRUE,289
Christian Garin,Chile,CHI,Andrey Rublev,Russian Federation,RUS,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,4-6 6-4 7-5 6-4,FALSE,289
John Isner,United States,USA,Reilly Opelka,United States,USA,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,7-6(4) 7-6(6) 6-7(4) 7-6(5),FALSE,289
Mackenzie Mcdonald,United States,USA,Yoshihito Nishioka,Japan,JPN,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-7(7) 6-0 4-6 6-2 6-3,FALSE,289
Reilly Opelka,United States,USA,John Isner,United States,USA,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,7-6(4) 7-6(6) 6-7(4) 7-6(5),TRUE,289
Yoshihito Nishioka,Japan,JPN,Mackenzie Mcdonald,United States,USA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-7(7) 6-0 4-6 6-2 6-3,TRUE,289
Aljaz Bedene,Slovenia,SLO,Nikoloz Basilashvili,Georgia,GEO,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-2 4-6 6-2 2-6 6-4,FALSE,288
Denis Shapovalov,Canada,CAN,Kevin Anderson,South Africa,RSA,8/27/2018,US Open,G,5,H,FALSE,61,R32,4-6 6-3 6-4 4-6 6-4,FALSE,288
Kevin Anderson,South Africa,RSA,Denis Shapovalov,Canada,CAN,8/27/2018,US Open,G,5,H,FALSE,61,R32,4-6 6-3 6-4 4-6 6-4,TRUE,288
Nikoloz Basilashvili,Georgia,GEO,Aljaz Bedene,Slovenia,SLO,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-2 4-6 6-2 2-6 6-4,TRUE,288
Andreas Seppi,Italy,ITA,Frances Tiafoe,United States,USA,1/14/2019,Australian Open,G,5,H,FALSE,85,R32,6-7(3) 6-3 4-6 6-4 6-3,FALSE,287
Frances Tiafoe,United States,USA,Andreas Seppi,Italy,ITA,1/14/2019,Australian Open,G,5,H,FALSE,85,R32,6-7(3) 6-3 4-6 6-4 6-3,TRUE,287
Mackenzie Mcdonald,United States,USA,Marin Cilic,Croatia,CRO,1/14/2019,Australian Open,G,5,H,FALSE,85,R64,7-5 6-7(9) 6-4 6-4,FALSE,286
Marin Cilic,Croatia,CRO,Mackenzie Mcdonald,United States,USA,1/14/2019,Australian Open,G,5,H,FALSE,85,R64,7-5 6-7(9) 6-4 6-4,TRUE,286
Grigor Dimitrov,Bulgaria,BUL,Pablo Cuevas,Uruguay,URU,1/14/2019,Australian Open,G,5,H,FALSE,85,R64,6-3 6-7(5) 6-3 7-5,TRUE,285
Pablo Cuevas,Uruguay,URU,Grigor Dimitrov,Bulgaria,BUL,1/14/2019,Australian Open,G,5,H,FALSE,85,R64,6-3 6-7(5) 6-3 7-5,FALSE,285
Grigor Dimitrov,Bulgaria,BUL,Janko Tipsarevic,Serbia,SRB,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-3 6-0 3-6 6-7(4) 6-4,TRUE,282
Janko Tipsarevic,Serbia,SRB,Grigor Dimitrov,Bulgaria,BUL,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-3 6-0 3-6 6-7(4) 6-4,FALSE,282
Julien Benneteau,France,FRA,Marco Cecchinato,Italy,ITA,8/27/2018,US Open,G,5,H,FALSE,61,R128,2-6 7-6(5) 6-3 6-4,TRUE,282
Marco Cecchinato,Italy,ITA,Julien Benneteau,France,FRA,8/27/2018,US Open,G,5,H,FALSE,61,R128,2-6 7-6(5) 6-3 6-4,FALSE,282
Philipp Kohlschreiber,Germany,GER,Robin Haase,Netherlands,NED,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-4 6-4 6-7(5) 6-1,TRUE,279
Robin Haase,Netherlands,NED,Philipp Kohlschreiber,Germany,GER,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-4 6-4 6-7(5) 6-1,FALSE,279
Benoit Paire,France,FRA,Juan Ignacio Londero,Argentina,ARG,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,4-6 6-4 6-4 7-6(4),TRUE,278
Juan Ignacio Londero,Argentina,ARG,Benoit Paire,France,FRA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,4-6 6-4 6-4 7-6(4),FALSE,278
Benoit Paire,France,FRA,Jiri Vesely,Czech Republic,CZE,7/1/2019,Wimbledon,G,5,G,FALSE,76,R32,5-7 7-6(5) 6-3 7-6(2),TRUE,277
Jiri Vesely,Czech Republic,CZE,Benoit Paire,France,FRA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R32,5-7 7-6(5) 6-3 7-6(2),FALSE,277
Lucas Pouille,France,FRA,Marcos Baghdatis,Cyprus,CYP,8/27/2018,US Open,G,5,H,FALSE,61,R64,6-7(4) 6-4 6-4 6-3,TRUE,275
Marcos Baghdatis,Cyprus,CYP,Lucas Pouille,France,FRA,8/27/2018,US Open,G,5,H,FALSE,61,R64,6-7(4) 6-4 6-4 6-3,FALSE,275
Guido Pella,Argentina,ARG,Roberto Bautista Agut,Spain,ESP,7/1/2019,Wimbledon,G,5,G,FALSE,76,QF,7-5 6-4 3-6 6-3,FALSE,273
Roberto Bautista Agut,Spain,ESP,Guido Pella,Argentina,ARG,7/1/2019,Wimbledon,G,5,G,FALSE,76,QF,7-5 6-4 3-6 6-3,TRUE,273
Christopher Eubanks,United States,USA,Nikoloz Basilashvili,Georgia,GEO,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-4 4-6 7-6(6) 6-3,FALSE,272
Diego Sebastian Schwartzman,Argentina,ARG,Leonardo Mayer,Argentina,ARG,5/26/2019,Roland Garros,G,5,C,FALSE,48,R64,4-6 6-3 6-4 7-5,FALSE,272
Leonardo Mayer,Argentina,ARG,Diego Sebastian Schwartzman,Argentina,ARG,5/26/2019,Roland Garros,G,5,C,FALSE,48,R64,4-6 6-3 6-4 7-5,TRUE,272
Nikoloz Basilashvili,Georgia,GEO,Christopher Eubanks,United States,USA,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-4 4-6 7-6(6) 6-3,TRUE,272
Denis Kudla,United States,USA,Marc Polmans,Australia,AUS,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,5-7 1-6 6-2 6-3 6-2,TRUE,271
Evgeny Donskoy,Russian Federation,RUS,Laslo Djere,Serbia,SRB,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-7(5) 6-4 6-1 7-6(5),TRUE,271
Guido Andreozzi,Argentina,ARG,Laslo Djere,Serbia,SRB,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,3-6 7-6(3) 7-6(3) 6-3,FALSE,271
Laslo Djere,Serbia,SRB,Evgeny Donskoy,Russian Federation,RUS,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-7(5) 6-4 6-1 7-6(5),FALSE,271
Laslo Djere,Serbia,SRB,Guido Andreozzi,Argentina,ARG,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,3-6 7-6(3) 7-6(3) 6-3,TRUE,271
Lucas Pouille,France,FRA,Milos Raonic,Canada,CAN,1/14/2019,Australian Open,G,5,H,FALSE,85,QF,7-6(4) 6-3 6-7(2) 6-4,TRUE,271
Marc Polmans,Australia,AUS,Denis Kudla,United States,USA,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,5-7 1-6 6-2 6-3 6-2,FALSE,271
Milos Raonic,Canada,CAN,Lucas Pouille,France,FRA,1/14/2019,Australian Open,G,5,H,FALSE,85,QF,7-6(4) 6-3 6-7(2) 6-4,FALSE,271
Dominic Thiem,Austria,AUT,Taylor Harry Fritz,United States,USA,8/27/2018,US Open,G,5,H,FALSE,61,R32,3-6 6-3 7-6(5) 6-4,TRUE,270
Grigor Dimitrov,Bulgaria,BUL,Stan Wawrinka,Switzerland,SUI,5/26/2019,Roland Garros,G,5,C,FALSE,48,R32,7-6(5) 7-6(4) 7-6(8),FALSE,270
Henri Laaksonen,Switzerland,SUI,Mirza Basic,Bosnia and Herzegovina,BIH,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-4 7-6(4) 4-6 6-3,TRUE,270
Mirza Basic,Bosnia and Herzegovina,BIH,Henri Laaksonen,Switzerland,SUI,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-4 7-6(4) 4-6 6-3,FALSE,270
Stan Wawrinka,Switzerland,SUI,Grigor Dimitrov,Bulgaria,BUL,5/26/2019,Roland Garros,G,5,C,FALSE,48,R32,7-6(5) 7-6(4) 7-6(8),TRUE,270
Taylor Harry Fritz,United States,USA,Dominic Thiem,Austria,AUT,8/27/2018,US Open,G,5,H,FALSE,61,R32,3-6 6-3 7-6(5) 6-4,FALSE,270
Alexander Zverev,Germany,GER,Dusan Lajovic,Serbia,SRB,5/26/2019,Roland Garros,G,5,C,FALSE,48,R32,6-4 6-2 4-6 1-6 6-2,TRUE,269
Diego Sebastian Schwartzman,Argentina,ARG,Tomas Berdych,Czech Republic,CZE,1/14/2019,Australian Open,G,5,H,FALSE,85,R32,5-7 6-3 7-5 6-4,FALSE,269
Dusan Lajovic,Serbia,SRB,Alexander Zverev,Germany,GER,5/26/2019,Roland Garros,G,5,C,FALSE,48,R32,6-4 6-2 4-6 1-6 6-2,FALSE,269
Hubert Hurkacz,Poland,POL,Leonardo Mayer,Argentina,ARG,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,6-7(4) 6-1 7-6(7) 6-3,TRUE,269
Jan Lennard Struff,Germany,GER,Julien Benneteau,France,FRA,8/27/2018,US Open,G,5,H,FALSE,61,R64,6-2 4-6 6-1 3-6 6-3,TRUE,269
Julien Benneteau,France,FRA,Jan Lennard Struff,Germany,GER,8/27/2018,US Open,G,5,H,FALSE,61,R64,6-2 4-6 6-1 3-6 6-3,FALSE,269
Leonardo Mayer,Argentina,ARG,Hubert Hurkacz,Poland,POL,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,6-7(4) 6-1 7-6(7) 6-3,FALSE,269
Mackenzie Mcdonald,United States,USA,Robin Haase,Netherlands,NED,8/27/2018,US Open,G,5,H,FALSE,61,R128,4-6 4-6 6-3 6-1 6-3,FALSE,269
Robin Haase,Netherlands,NED,Mackenzie Mcdonald,United States,USA,8/27/2018,US Open,G,5,H,FALSE,61,R128,4-6 4-6 6-3 6-1 6-3,TRUE,269
Stan Wawrinka,Switzerland,SUI,Ugo Humbert,France,FRA,8/27/2018,US Open,G,5,H,FALSE,61,R64,7-6(5) 4-6 6-3 7-5,TRUE,269
Tomas Berdych,Czech Republic,CZE,Diego Sebastian Schwartzman,Argentina,ARG,1/14/2019,Australian Open,G,5,H,FALSE,85,R32,5-7 6-3 7-5 6-4,TRUE,269
Ugo Humbert,France,FRA,Stan Wawrinka,Switzerland,SUI,8/27/2018,US Open,G,5,H,FALSE,61,R64,7-6(5) 4-6 6-3 7-5,FALSE,269
Daniil Medvedev,Russian Federation,RUS,Novak Djokovic,Serbia,SRB,1/14/2019,Australian Open,G,5,H,FALSE,85,R16,6-4 6-7(5) 6-2 6-3,FALSE,268
Diego Sebastian Schwartzman,Argentina,ARG,Kei Nishikori,Japan,JPN,8/27/2018,US Open,G,5,H,FALSE,61,R32,6-4 6-4 5-7 6-1,FALSE,268
Evgeny Donskoy,Russian Federation,RUS,Filip Krajinovic,Serbia,SRB,1/14/2019,Australian Open,G,5,H,FALSE,85,R64,6-4 7-6(8) 7-6(2),FALSE,268
Filip Krajinovic,Serbia,SRB,Evgeny Donskoy,Russian Federation,RUS,1/14/2019,Australian Open,G,5,H,FALSE,85,R64,6-4 7-6(8) 7-6(2),TRUE,268
Kei Nishikori,Japan,JPN,Diego Sebastian Schwartzman,Argentina,ARG,8/27/2018,US Open,G,5,H,FALSE,61,R32,6-4 6-4 5-7 6-1,TRUE,268
Matteo Berrettini,Italy,ITA,Pablo Andujar,Spain,ESP,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-7(3) 6-4 6-4 6-2,TRUE,268
Nikoloz Basilashvili,Georgia,GEO,Stefano Travaglia,Italy,ITA,1/14/2019,Australian Open,G,5,H,FALSE,85,R64,3-6 6-3 3-6 6-4 6-3,TRUE,268
Novak Djokovic,Serbia,SRB,Daniil Medvedev,Russian Federation,RUS,1/14/2019,Australian Open,G,5,H,FALSE,85,R16,6-4 6-7(5) 6-2 6-3,TRUE,268
Pablo Andujar,Spain,ESP,Matteo Berrettini,Italy,ITA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-7(3) 6-4 6-4 6-2,FALSE,268
Stefano Travaglia,Italy,ITA,Nikoloz Basilashvili,Georgia,GEO,1/14/2019,Australian Open,G,5,H,FALSE,85,R64,3-6 6-3 3-6 6-4 6-3,FALSE,268
Andy Murray,United Kingdom,GBR,James Duckworth,Australia,AUS,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-7(5) 6-3 7-5 6-3,TRUE,267
Daniel Evans,United Kingdom,GBR,Fernando Verdasco,Spain,ESP,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-3 6-7(4) 6-3 6-2,FALSE,267
Dusan Lajovic,Serbia,SRB,Hubert Hurkacz,Poland,POL,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,6-3 4-6 6-4 6-4,FALSE,267
Fernando Verdasco,Spain,ESP,Daniel Evans,United Kingdom,GBR,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-3 6-7(4) 6-3 6-2,TRUE,267
Hubert Hurkacz,Poland,POL,Novak Djokovic,Serbia,SRB,7/1/2019,Wimbledon,G,5,G,FALSE,76,R32,7-5 6-7(5) 6-1 6-4,FALSE,267
Hubert Hurkacz,Poland,POL,Dusan Lajovic,Serbia,SRB,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,6-3 4-6 6-4 6-4,TRUE,267
James Duckworth,Australia,AUS,Andy Murray,United Kingdom,GBR,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-7(5) 6-3 7-5 6-3,FALSE,267
Novak Djokovic,Serbia,SRB,Hubert Hurkacz,Poland,POL,7/1/2019,Wimbledon,G,5,G,FALSE,76,R32,7-5 6-7(5) 6-1 6-4,TRUE,267
Cameron Norrie,United Kingdom,GBR,Jordan Thompson,Australia,AUS,8/27/2018,US Open,G,5,H,FALSE,61,R128,7-5 4-6 6-4 6-3,TRUE,266
Filip Krajinovic,Serbia,SRB,Marco Cecchinato,Italy,ITA,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,4-6 0-6 6-1 7-6(8) 6-4,TRUE,266
John Isner,United States,USA,Juan Martin Del Potro,Argentina,ARG,8/27/2018,US Open,G,5,H,FALSE,61,QF,6-7(5) 6-3 7-6(4) 6-2,FALSE,266
Jordan Thompson,Australia,AUS,Cameron Norrie,United Kingdom,GBR,8/27/2018,US Open,G,5,H,FALSE,61,R128,7-5 4-6 6-4 6-3,FALSE,266
Juan Martin Del Potro,Argentina,ARG,John Isner,United States,USA,8/27/2018,US Open,G,5,H,FALSE,61,QF,6-7(5) 6-3 7-6(4) 6-2,TRUE,266
Leonardo Mayer,Argentina,ARG,Nicolas Jarry,Chile,CHI,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,7-6(4) 7-6(3) 4-6 6-3,TRUE,266
Marco Cecchinato,Italy,ITA,Filip Krajinovic,Serbia,SRB,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,4-6 0-6 6-1 7-6(8) 6-4,FALSE,266
Nicolas Jarry,Chile,CHI,Leonardo Mayer,Argentina,ARG,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,7-6(4) 7-6(3) 4-6 6-3,FALSE,266
Kyle Edmund,United Kingdom,GBR,Paolo Lorenzi,Italy,ITA,8/27/2018,US Open,G,5,H,FALSE,61,R128,4-6 6-4 7-5 6-1,FALSE,265
Paolo Lorenzi,Italy,ITA,Kyle Edmund,United Kingdom,GBR,8/27/2018,US Open,G,5,H,FALSE,61,R128,4-6 6-4 7-5 6-1,TRUE,265
Alexander Zverev,Germany,GER,Fabio Fognini,Italy,ITA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R16,3-6 6-2 6-2 7-6(5),TRUE,264
Fabio Fognini,Italy,ITA,Alexander Zverev,Germany,GER,5/26/2019,Roland Garros,G,5,C,FALSE,48,R16,3-6 6-2 6-2 7-6(5),FALSE,264
Aljaz Bedene,Slovenia,SLO,Matteo Berrettini,Italy,ITA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,3-6 6-3 6-2 7-6(3),FALSE,263
Filip Krajinovic,Serbia,SRB,Frances Tiafoe,United States,USA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-2 4-6 6-3 3-6 6-0,TRUE,263
Frances Tiafoe,United States,USA,Filip Krajinovic,Serbia,SRB,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-2 4-6 6-3 3-6 6-0,FALSE,263
Matteo Berrettini,Italy,ITA,Aljaz Bedene,Slovenia,SLO,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,3-6 6-3 6-2 7-6(3),TRUE,263
Corentin Moutet,France,FRA,Felix Auger Aliassime,Canada,CAN,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,6-3 4-6 6-4 6-2,FALSE,262
Felix Auger Aliassime,Canada,CAN,Corentin Moutet,France,FRA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,6-3 4-6 6-4 6-2,TRUE,262
Jason Kubler,Australia,AUS,Thomas Fabbiano,Italy,ITA,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-4 7-6(1) 2-6 6-3,FALSE,261
Matteo Berrettini,Italy,ITA,Stefanos Tsitsipas,Greece,GRE,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-7(3) 6-4 6-3 7-6(4),FALSE,261
